unmapped_percent,sample,status
1.01,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
1.48,WT_Minimal_HisMetLeuUra_Galactose_2_30_none_2,0
0.8999999999999999,WT_YPD_none_Glucose_2_1440_none_17,0
0.55,WT_Minimal_HisMetLeuUra_Galactose_2_180_none_3,0
0.9099999999999999,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8,0
0.53,WT_Minimal_HisMetLeuUra_Galactose_2_90_none_4,0
1.34,YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
0.88,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
1.65,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
0.62,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
1.1700000000000002,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_cAMP_3,0
0.7,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_30_none_2,0
1.31,YBR033W_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
1.16,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
0.74,WT_YPD_none_Glucose_2_1440_none_12,0
0.8,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_2,0
1.28,YBR033W_YDR034C_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
0.9099999999999999,WT_YPD_none_Glucose_2_1440_none_25,0
1.46,YGL209W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
0.91,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
0.77,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_300_1NMPP7_2,0
0.97,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
1.07,YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
0.86,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_0.001_-1_none_3,0
1.55,YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
1.02,WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
1.02,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
1.72,YBR033W_YKL038W_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
1.48,YGL209W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
1.71,YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
0.76,YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_45_1NMPP7_3,0
1.48,YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
0.62,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_5,0
0.67,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
0.91,YGL035C_YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
0.8899999999999999,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_1,0
1.2999999999999998,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
0.6,WT_YPD_none_Glucose_2_1440_none_1,0
3.94,YDR034C_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
0.5900000000000001,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,0
0.9299999999999999,WT_YPD_none_Glucose_2_1440_none_31,0
0.6900000000000001,YGL209W_YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
0.79,YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_4,0
0.7,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_7,0
1.38,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,0
1.51,YDR477W_Minimal_HisMetLeuUra_Glucose_0.001_-1_cAMP_2,0
0.62,WT_YPD_none_none_2_1440_none_5,0
3.24,WT_YPD_none_Glucose_2_1440_none_33,0
0.98,WT_YPD_none_Glucose_2_1440_none_5,0
0.93,YDR477W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
1.4200000000000002,YGL209W_YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
0.98,YDR477W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
